month,day,day of year,mean
1,1,1,15600
1,2,2,15600
1,3,3,16600
1,4,4,16800
1,5,5,17700
1,6,6,17700
1,7,7,17600
1,8,8,19000
1,9,9,18300
1,10,10,17900
1,11,11,17700
1,12,12,18100
1,13,13,18000
1,14,14,18200
1,15,15,19200
1,16,16,19600
1,17,17,19700
1,18,18,19800
1,19,19,20000
1,20,20,19100
1,21,21,18400
1,22,22,17600
1,23,23,17600
1,24,24,18800
1,25,25,18900
1,26,26,18200
1,27,27,17600
1,28,28,17100
1,29,29,17300
1,30,30,18300
1,31,31,18400
2,1,32,17900
2,2,33,17100
2,3,34,16900
2,4,35,16900
2,5,36,17500
2,6,37,17200
2,7,38,17300
2,8,39,17600
2,9,40,17600
2,10,41,17500
2,11,42,17400
2,12,43,16400
2,13,44,16600
2,14,45,16500
2,15,46,16900
2,16,47,17400
2,17,48,16900
2,18,49,16300
2,19,50,16300
2,20,51,16600
2,21,52,16300
2,22,53,16400
2,23,54,15800
2,24,55,16200
2,25,56,16500
2,26,57,16100
2,27,58,15900
2,28,59,15300
2,29,60,16500
3,1,61,15100
3,2,62,15000
3,3,63,14900
3,4,64,15100
3,5,65,14900
3,6,66,15100
3,7,67,14800
3,8,68,14300
3,9,69,14400
3,10,70,15000
3,11,71,14700
3,12,72,15100
3,13,73,15300
3,14,74,15000
3,15,75,15000
3,16,76,15000
3,17,77,14800
3,18,78,14500
3,19,79,14700
3,20,80,14800
3,21,81,14500
3,22,82,14100
3,23,83,14300
3,24,84,14200
3,25,85,14300
3,26,86,14100
3,27,87,14000
3,28,88,13900
3,29,89,13900
3,30,90,14000
3,31,91,14300
4,1,92,14600
4,2,93,14700
4,3,94,14200
4,4,95,14000
4,5,96,14200
4,6,97,14900
4,7,98,14900
4,8,99,14600
4,9,100,14600
4,10,101,14600
4,11,102,14300
4,12,103,14400
4,13,104,14900
4,14,105,15200
4,15,106,15400
4,16,107,15100
4,17,108,15200
4,18,109,15000
4,19,110,14700
4,20,111,15300
4,21,112,15600
4,22,113,15400
4,23,114,15400
4,24,115,15900
4,25,116,15800
4,26,117,15500
4,27,118,15700
4,28,119,16400
4,29,120,16800
4,30,121,17200
5,1,122,17100
5,2,123,16600
5,3,124,16800
5,4,125,17000
5,5,126,17400
5,6,127,18000
5,7,128,18400
5,8,129,18500
5,9,130,18900
5,10,131,18900
5,11,132,19100
5,12,133,19900
5,13,134,20100
5,14,135,20200
5,15,136,20300
5,16,137,20500
5,17,138,21200
5,18,139,21200
5,19,140,21300
5,20,141,21700
5,21,142,22000
5,22,143,21800
5,23,144,22200
5,24,145,22400
5,25,146,22500
5,26,147,22700
5,27,148,23000
5,28,149,23100
5,29,150,23000
5,30,151,23300
5,31,152,23000
6,1,153,23400
6,2,154,24300
6,3,155,25000
6,4,156,24700
6,5,157,24900
6,6,158,25100
6,7,159,25000
6,8,160,24900
6,9,161,24400
6,10,162,24600
6,11,163,24500
6,12,164,24200
6,13,165,24300
6,14,166,24000
6,15,167,24100
6,16,168,24300
6,17,169,24900
6,18,170,25300
6,19,171,25200
6,20,172,24900
6,21,173,24900
6,22,174,24500
6,23,175,24000
6,24,176,23400
6,25,177,23100
6,26,178,22800
6,27,179,22700
6,28,180,22500
6,29,181,22800
6,30,182,22900
7,1,183,22800
7,2,184,22900
7,3,185,22800
7,4,186,22700
7,5,187,22100
7,6,188,22400
7,7,189,21800
7,8,190,21800
7,9,191,22300
7,10,192,22200
7,11,193,21400
7,12,194,21600
7,13,195,22100
7,14,196,22000
7,15,197,21500
7,16,198,21100
7,17,199,20400
7,18,200,19900
7,19,201,19500
7,20,202,19200
7,21,203,18600
7,22,204,18200
7,23,205,17700
7,24,206,17500
7,25,207,17200
7,26,208,16800
7,27,209,16500
7,28,210,15900
7,29,211,15600
7,30,212,15200
7,31,213,14900
8,1,214,14600
8,2,215,14500
8,3,216,14000
8,4,217,13800
8,5,218,13600
8,6,219,13200
8,7,220,13000
8,8,221,13000
8,9,222,12700
8,10,223,12300
8,11,224,12100
8,12,225,11800
8,13,226,11600
8,14,227,11500
8,15,228,11400
8,16,229,11400
8,17,230,10900
8,18,231,10600
8,19,232,10300
8,20,233,10300
8,21,234,10200
8,22,235,10300
8,23,236,10500
8,24,237,10200
8,25,238,10100
8,26,239,10000
8,27,240,9810
8,28,241,9680
8,29,242,9600
8,30,243,9780
8,31,244,9500
9,1,245,9550
9,2,246,9870
9,3,247,9520
9,4,248,9200
9,5,249,9230
9,6,250,9530
9,7,251,9380
9,8,252,9250
9,9,253,9480
9,10,254,9420
9,11,255,9520
9,12,256,9210
9,13,257,8690
9,14,258,8920
9,15,259,8900
9,16,260,9020
9,17,261,9350
9,18,262,9630
9,19,263,9280
9,20,264,9510
9,21,265,9680
9,22,266,9380
9,23,267,9530
9,24,268,9380
9,25,269,9310
9,26,270,9160
9,27,271,9100
9,28,272,8950
9,29,273,9380
9,30,274,9840
10,1,275,10100
10,2,276,9880
10,3,277,9960
10,4,278,10300
10,5,279,10400
10,6,280,9950
10,7,281,9970
10,8,282,10400
10,9,283,10500
10,10,284,10900
10,11,285,11700
10,12,286,11500
10,13,287,11200
10,14,288,11400
10,15,289,11700
10,16,290,12000
10,17,291,12700
10,18,292,13200
10,19,293,12900
10,20,294,13600
10,21,295,14000
10,22,296,14500
10,23,297,14100
10,24,298,13500
10,25,299,14900
10,26,300,15800
10,27,301,15200
10,28,302,15100
10,29,303,14800
10,30,304,14800
10,31,305,16000
11,1,306,16700
11,2,307,16700
11,3,308,16500
11,4,309,18500
11,5,310,18300
11,6,311,17600
11,7,312,18300
11,8,313,18500
11,9,314,18000
11,10,315,17900
11,11,316,18600
11,12,317,19200
11,13,318,19500
11,14,319,19900
11,15,320,19800
11,16,321,19900
11,17,322,19000
11,18,323,18800
11,19,324,18600
11,20,325,19600
11,21,326,19600
11,22,327,18700
11,23,328,19700
11,24,329,21800
11,25,330,22200
11,26,331,21900
11,27,332,21700
11,28,333,21500
11,29,334,20200
11,30,335,19600
12,1,336,19300
12,2,337,20200
12,3,338,21100
12,4,339,21900
12,5,340,20500
12,6,341,19000
12,7,342,18100
12,8,343,17400
12,9,344,18000
12,10,345,19100
12,11,346,19700
12,12,347,19900
12,13,348,20000
12,14,349,19800
12,15,350,19400
12,16,351,19100
12,17,352,18700
12,18,353,18800
12,19,354,18400
12,20,355,18000
12,21,356,18000
12,22,357,17200
12,23,358,16800
12,24,359,17200
12,25,360,16500
12,26,361,16000
12,27,362,16700
12,28,363,16600
12,29,364,16600
12,30,365,16600
12,31,366,15900